#Exported for mctoolsr																																																													
#OTU ID	F.1.A_F	F.1.O_F	S.1.A_F	S.1.O_F	F.2.A_F	F.2.O_F	S.2.A_F	S.2.O_F	F.3.A_F	F.3.O_F	S.3.A_F	S.3.O_F	F.4.A_F	F.4.O_F	S.4.A_F	S.4.O_F	F.5.A_F	F.5.O_F	S.5.A_F	S.5.O_F	F.6.A_F	F.6.O_F	S.6.A_F	S.6.O_F	F.7.A_F	F.7.O_F	S.7.A_F	S.7.O_F	F.8.A_F	F.8.O_F	S.8.A_F	S.8.O_F	F.9.A_F	F.9.O_F	S.9.A_F	S.9.O_F	F.10.A_F	F.10.O_F	S.10.A_F	S.10.O_F	F.11.A_F	F.11.O_F	S.11.A_F	S.11.O_F	F.12.A_F	F.12.O_F	S.12.A_F	S.12.O_F	F.13.A_F	F.13.O_F	S.13.A_F	S.13.O_F	F.14.A_F	F.14.O_F	S.14.A_F	S.14.O_F	F.15.A_F	F.15.O_F	S.15.A_F	S.15.O_F	taxonomy
d9e7d4ed9bfdb1f5b5727566fe1c9d1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;Ascomycota incertae sedis <taxid 129384>;Heliocephala;Heliocephala gracilis;
9bf844e9dd259af57d278760c5a9902b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;Ascomycota incertae sedis <taxid 129384>;Heliocephala;Heliocephala gracilis;
9af9d1532662230caf95439f54191f4c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	14	0	0	root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;Ascomycota incertae sedis <taxid 129384>;Heliocephala;Heliocephala gracilis;
5adad47b030d00d3d26ed79a741adbbb	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;Ascomycota incertae sedis <taxid 129384>;Heliocephala;Heliocephala gracilis;
7d7f805e7cc8672d604dc62f14ea969d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;Ascomycota incertae sedis <taxid 129384>;Heliocephala;Heliocephala gracilis;
54f29bb82faf8216bca86f87040e8a1f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173	0	0	0	0	0	0	root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;Ascomycota incertae sedis <taxid 129384>;Heliocephala;Heliocephala gracilis;
781b990d7f17ca423a57a6990c1a858f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;Ascomycota incertae sedis <taxid 129384>;Heliocephala;Heliocephala gracilis;
edcaf4e52bb311245316099efc64d35a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	13	0	19	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	21	0	0	root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;Ascomycota incertae sedis <taxid 129384>;Heliocephala;Heliocephala gracilis;
f1159dba65010c97d8ba95fbb7467401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	382	root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;Ascomycota incertae sedis <taxid 129384>;Heliocephala;Heliocephala gracilis;
f27e707e8ec6767fd935df99ac8f0ab8	0	0	0	0	0	15	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	31	0	0	0	0	0	0	root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;Ascomycota incertae sedis <taxid 129384>;Heliocephala;Heliocephala gracilis;
a4fcb7a14bc3e7877baaa3a8075c0214	0	0	60	0	0	60	0	0	5	0	0	0	0	4	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	173	0	0	0	0	0	0	root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;Ascomycota incertae sedis <taxid 129384>;Heliocephala;Heliocephala gracilis;
80d21a3bd212462e570df640212c4c0d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;dothideomyceta;Arthoniomycetes;Lichenostigmatales;Phaeococcomycetaceae;unclassified Phaeococcomycetaceae;Phaeococcomycetaceae sp. CCFEE 5284;
93c2930a0d6d87ea3f8514369f70db06	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	21	19	0	0	root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;dothideomyceta;Arthoniomycetes;Lichenostigmatales;Phaeococcomycetaceae;unclassified Phaeococcomycetaceae;Phaeococcomycetaceae sp. CCFEE 5284;
1e7cf789d6fef9464ef80ef944647dd5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	17	0	0	0	0	1041	root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;dothideomyceta;Dothideomycetes;Dothideomycetes incertae sedis;Botryosphaeriales;Phyllostictaceae;Phyllosticta;Phyllosticta elongata;
6418fb034938ee60c50302a5f0652915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	13	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;dothideomyceta;Dothideomycetes;Dothideomycetes incertae sedis;Coniosporium <Dothideomycetes incertae sedis>;Coniosporium apollinis;
