sample_ID	site	habitat	burrow_feature	gopher_tortoise_activity	treatment	sampling_date	Soil.pH	pH.Buffer	Soluble.Salt	Organic.Matter	Soil.Respiration	Total.N	Organic.N	Total.Organic.C	Nitrate	Ammonium	Inorganic.Nitrogen	Total.Phosphorus	Inorganic.Phosphorus	Organic.Phosphorus	Potassium	Calcium	Aluminum	Iron	Sulfur	Zinc	Manganese	Copper	Magnesium	Sodium	Microbially.Active.Carbon	Organic.C:N	OrganicN:InorganicN	Organic.N.Release	Organic.N.Reserve	Soil.Health.Calculation	Available.N	Available.P	Available.K	Percent.Moisture	Gravimetric.H2O	Qubit
F.1.A_F	1	Degraded	Apron	Burrowing	DegradedBurrowing	Fall	6	6.8	0.19	0.9	64	15.3	4.3	54	2.6	2.6	5.2	33	29.8	3.6	25	254	155	42	11.1	0.67	7.1	0.18	43	15	118	12.7	0.8	4.3	0	7.91	22.7	76.9	29.8	5.220522052	0.055080722	4520
S.1.A_F	1	Intact	Apron	Burrowing	IntactBurrowing	Fall	5.1	6.9	0.07	0.7	33.4	5.2	2.9	35	1.1	2.8	3.9	6	4.8	1.4	4	80	277	50	1.3	0.26	4.3	0.14	18	10	94.9	12.3	0.7	2.9	0	4.33	16.2	14.3	5.2	11.18611379	0.125950054	4980
F.2.A_F	2	Degraded	Apron	Burrowing	DegradedBurrowing	Fall	5.6	6.9	0.06	0.4	15.2	4.3	1.8	28	0.8	1.7	2.5	6	2.9	3	7	185	120	25	1.7	0.2	6.9	0.13	31	14	54.6	15.4	0.7	1.8	0	2.26	10.3	13.5	8.8	7.419107792	0.080136491	6820
S.2.A_F	2	Intact	Apron	Burrowing	IntactBurrowing	Fall	5.2	6.9	0.07	0.4	21.9	4.3	1.1	19	1.5	2	3.6	3	2.6	0.6	4	78	99	20	1.1	0.19	7.8	0.14	15	10	118.2	16.2	0.3	1.1	0	2.68	11.3	7.3	5.2	6.302477454	0.067264078	6500
F.3.A_F	3	Degraded	Apron	Burrowing	DegradedBurrowing	Fall	5	6.9	0.08	0.4	11.6	4.1	1.8	19	1.4	1.7	3.1	4	2.5	1.7	3	42	94	20	1.1	0.19	1.6	0.13	10	8	59.6	11	0.6	1.8	0	1.73	11.7	9.7	3.8	4.730946189	0.049658793	8060
S.3.A_F	3	Intact	Apron	Burrowing	IntactBurrowing	Fall	5.6	6.8	0.07	0.7	25.7	4.2	1.1	28	0.7	4.5	5.2	3	1.3	2.1	8	80	262	83	1.4	0.2	2.1	0.07	21	13	93.3	24.5	0.2	1.1	0	3.23	15.2	7.9	9.7	6.210621062	0.06621881	7900
F.4.A_F	4	Degraded	Apron	Burrowing	DegradedBurrowing	Fall	5.6	6.8	0.04	0.5	15.8	2.6	0.6	20	0.3	2.6	2.9	4	1.5	2	4	71	129	32	1.1	0.14	2	0.09	16	12	77.1	36.5	0.2	0.6	0	2.05	8.3	8.1	5.4	6.00120024	0.063843371	7640
S.4.A_F	4	Intact	Apron	Burrowing	IntactBurrowing	Fall	5.3	6.9	0.08	0.6	15.5	2.5	0.7	20	0.3	2.5	2.8	13	6.7	6.7	5	57	203	61	1.6	0.22	2.4	0.05	15	12	78.6	29.3	0.2	0.7	0	2.01	8.4	30.7	5.9	6.356186288	0.067876201	8540
F.5.A_F	5	Degraded	Apron	Burrowing	DegradedBurrowing	Fall	5.2	6.9	0.1	0.5	17.2	3.6	0.8	20	1.7	1.8	3.5	8	6.2	1.8	5	105	142	46	1.5	0.21	1.2	0.13	14	8	86.1	24	0.2	0.8	0	2.2	10.3	18.3	5.9	5.934658807	0.063090813	7960
S.5.A_F	5	Intact	Apron	Burrowing	IntactBurrowing	Fall	4.6	6.8	0.07	1.3	16.6	4.3	1.9	32	1	3.2	4.2	5	3.8	1.2	6	44	154	46	1.2	0.21	1.2	0.12	14	8	51.7	17	0.4	1.9	0	2.49	14.6	11.3	6.8	7.428190983	0.080242474	13980
F.6.A_F	6	Degraded	Apron	Burrowing	DegradedBurrowing	Fall	5.1	6.9	0.07	0.4	24.7	3.4	1.8	22	0.9	1.5	2.4	7	6.2	1.2	4	66	116	29	1.1	0.16	1.2	0.13	12	8	111.8	12	0.8	1.8	0	3.1	10.1	17.1	4.5	6.046372177	0.064354856	10300
S.6.A_F	6	Intact	Apron	Burrowing	IntactBurrowing	Fall	5.3	6.9	0.06	0.6	16	3.1	0.7	13	0.8	3.4	4.2	4	1.9	1.7	12	49	221	38	1.3	0.14	1.4	0.05	19	16	120.9	18.4	0.2	0.7	0	1.94	11.8	8.2	14.2	7.018614587	0.075484083	3780
F.7.A_F	7	Degraded	Apron	Burrowing	DegradedBurrowing	Fall	5.4	6.9	0.07	0.5	12.6	1.6	0.6	15	0.2	2.3	2.5	3	1.4	2.1	8	54	116	31	2.1	0.24	0.9	0.06	16	13	82.1	24.1	0.3	0.6	0	1.63	7.5	8	9.7	4.769046191	0.05007874	8500
F.8.A_F	8	Degraded	Apron	Burrowing	DegradedBurrowing	Fall	5.3	6.8	0.07	0.6	13.6	2.1	0.5	17	0.3	3.2	3.5	17	10.3	7	4	73	205	81	2	0.18	1.4	0.21	17	15	78.7	32.2	0.2	0.5	0	1.76	9.7	39.9	5.2	4.819036193	0.050630252	5560
S.8.A_F	8	Intact	Apron	Burrowing	IntactBurrowing	Fall	4.5	6.8	0.06	0.6	21.5	3.9	2.7	29	0.8	1.9	2.7	5	3.5	1.8	4	31	218	74	1.5	0.18	0.8	0.14	10	8	73.2	10.8	1	2.7	0	3.01	13	12.2	5.4	5.830758497	0.061917866	11240
F.9.A_F	9	Degraded	Apron	Burrowing	DegradedBurrowing	Fall	5.4	6.8	0.06	0.6	12.3	2.4	1.1	23	1	3.6	4.7	6	2.6	3.3	5	59	169	53	1.5	0.18	0.8	0.05	15	12	53.4	20.7	0.2	1.1	0	1.8	13.8	13.5	6.1	5.554445554	0.058811085	13020
S.9.A_F	9	Intact	Apron	Burrowing	IntactBurrowing	Fall	5	6.8	0.11	0.7	15.1	2.5	1.1	23	0.3	3.1	3.4	5	2.4	3.1	6	42	222	58	2.2	0.26	1.8	0.07	13	12	67	21	0.3	1.1	0	2.07	10.6	12.6	6.8	6.112364379	0.065102975	8640
F.10.A_F	10	Degraded	Apron	Burrowing	DegradedBurrowing	Fall	5.1	6.8	0.07	0.7	15.7	3.1	1	20	0.5	3.7	4.1	5	1.6	2.9	6	35	234	57	2.1	0.21	1	0.07	13	12	79.3	19.8	0.2	1	0	2.07	12.3	10.4	7.1	6.19300106	0.066018539	2880
S.10.A_F	10	Intact	Apron	Burrowing	IntactBurrowing	Fall	4.8	6.9	0.07	0.3	11.2	3.9	2	19	1	1.9	3	2	1.3	0.9	4	32	151	44	0.8	0.14	1	0.11	12	8	57.6	9.9	0.7	2	0	1.71	11.8	5.1	4.5	5.672958556	0.060141381	2340
F.11.A_F	11	Degraded	Apron	Burrowing	DegradedBurrowing	Fall	4.5	6.8	0.04	0.7	24	3.3	2.2	38	0.6	2.5	3.1	4	2.7	1.2	3	36	188	50	1.2	0.21	4.9	0.15	11	9	63.4	17.2	0.7	2.2	0	3.38	12.6	9	4.1	6.966795681	0.074885045	11380
S.11.A_F	11	Intact	Apron	Burrowing	IntactBurrowing	Fall	5.6	6.8	0.07	0.5	15.2	1.8	0.7	16	0.09	2.5	2.6	2	0.7	1.3	6	76	156	39	1.1	0.22	3.2	0.09	15	12	95.5	24.3	0.2	0.7	0	1.9	7.9	4.5	6.9	9.368129242	0.103364624	8640
F.12.A_F	12	Degraded	Apron	Burrowing	DegradedBurrowing	Fall	5.2	6.7	0.06	0.7	16.4	2.1	0.8	20	0.2	2.4	2.6	8	3.7	4.3	7	43	127	39	1.7	0.36	3.9	0.07	10	13	82	25.9	0.3	0.8	0	2.12	8.1	18.4	7.8	6.204690832	0.066151398	5760
S.12.A_F	12	Intact	Apron	Burrowing	IntactBurrowing	Fall	4.5	6.7	0.06	0.9	24.4	4.5	3.4	43	0.5	2.8	3.2	4	2.5	1.6	7	128	133	40	1.8	0.26	6.9	0.15	16	9	56.9	12.7	1.1	3.4	0	3.64	15.9	9.5	8.9	6.621986596	0.070915908	8060
F.13.A_F	13	Degraded	Apron	Burrowing	DegradedBurrowing	Fall	4.4	6.8	0.07	0.5	15.7	3.9	1.6	25	1.1	2	3.2	4	3	1.2	4	33	123	39	0.9	0.2	3.2	0.13	11	9	62.7	15.4	0.5	1.6	0	2.23	11.5	9.5	4.3	6.752813672	0.072418418	10700
S.13.A_F	13	Intact	Apron	Burrowing	IntactBurrowing	Fall	5.4	6.8	0.04	0.4	11.2	1.5	0.7	12	0.09	1.6	1.7	3	1.4	2	7	37	111	27	1	0.2	1.3	0.04	11	12	97	15.5	0.4	0.7	0	1.43	5.9	7.8	8.6	6.531959588	0.069884418	4460
F.14.A_F	14	Degraded	Apron	Burrowing	DegradedBurrowing	Fall	4.6	6.8	0.05	0.8	26.2	4.1	2.7	45	0.6	2.9	3.5	4	2.7	1.1	3	36	146	47	1.2	0.22	3.2	0.13	10	8	58.2	16.6	0.8	2.7	0	3.79	14.8	8.7	3.6	6.059698513	0.064505845	1260
S.14.A_F	14	Intact	Apron	Burrowing	IntactBurrowing	Fall	5.3	6.8	0.04	0.6	15.5	1.3	0.4	20	0.09	2.4	2.5	4	1.4	2.3	5	60	177	34	1.7	0.37	2.4	0.07	15	11	77.6	53.4	0.2	0.4	0	1.99	6.9	8.6	6.3	6.638672266	0.071107303	4560
F.15.A_F	15	Degraded	Apron	Burrowing	DegradedBurrowing	Fall	5	6.8	0.06	0.6	17.6	3.6	1.8	35	0.1	3.7	3.8	24	15.3	9.1	7	41	248	82	2.5	0.34	1.4	0.15	12	13	50.7	19.2	0.5	1.8	0	2.63	13.6	56.1	7.9	5.536124713	0.058605734	4460
S.15.A_F	15	Intact	Apron	Burrowing	IntactBurrowing	Fall	5.1	6.7	0.08	0.8	16.4	4.6	2.1	39	0.2	2.4	2.6	4	1.4	2.4	5	45	180	45	1.8	0.19	2.5	0.06	12	13	42.6	18.3	0.8	2.1	0	2.62	11.4	8.8	5.6	6.456126324	0.069017094	6240
F.1.O_F	1	Degraded	Outside	Foraging	DegradedForaging	Fall	5.2	6.6	0.08	1.7	27.3	4.9	3.2	41	0.8	1.8	2.6	22	18.7	3.1	8	348	174	34	3.3	0.9	7	0.14	59	10	66.1	12.8	1.2	3.2	0	3.88	14	50.2	9.8	6.594967532	0.070606126	28800
S.1.O_F	1	Intact	Outside	Foraging	IntactForaging	Fall	5.4	6.8	0.09	1.2	28.7	3.9	2.8	45	0.6	2.2	2.8	11	9.1	1.5	9	188	155	38	1.9	0.21	7.8	0.15	29	10	63.5	16	1	2.8	0	4.06	13.4	24.3	10.5	8.243727599	0.08984375	26400
F.2.O_F	2	Degraded	Outside	Foraging	DegradedForaging	Fall	5.2	6.8	0.11	1.2	28.6	6.4	3.4	56	0.2	2.6	2.8	10	4.1	6.1	9	95	157	39	2.6	0.64	9.3	0.07	20	13	51	16.7	1.2	3.4	0	4.32	14.8	23.4	11.4	6.354281147	0.067854476	35600
S.2.O_F	2	Intact	Outside	Foraging	IntactForaging	Fall	5.1	6.7	0.06	1.1	24.2	5.2	3.2	61	0.1	2.7	2.9	4	1.4	2.9	10	143	177	38	2.3	0.23	5.6	0.06	25	13	39.5	19.4	1.1	3.2	0	3.96	14.5	10	11.7	5.985809933	0.063669218	13620
F.3.O_F	3	Degraded	Outside	Foraging	DegradedForaging	Fall	5	6.7	0.08	1	21.9	7.2	4.3	66	0.1	2.7	2.9	8	2.6	5.8	7	68	144	41	2.2	0.65	3.8	0.05	18	11	33.4	15.2	1.5	4.3	0	3.93	17.2	19.3	8	6.084523928	0.064787234	28400
S.3.O_F	3	Intact	Outside	Foraging	IntactForaging	Fall	4.8	6.8	0.06	0.8	18.9	2.3	0.7	27	0.1	3	3.1	3	0.7	2	6	47	223	59	2	0.2	1.2	0.04	13	13	69.1	39.1	0.2	0.7	0	2.51	9.2	6.1	7.6	5.580513128	0.059103405	11840
F.4.O_F	4	Degraded	Outside	Foraging	DegradedForaging	Fall	5.5	6.7	0.12	1.6	19.1	4.7	2.5	37	0.6	3.2	3.8	5	1.4	3.2	8	154	149	39	2.4	0.64	4.8	0.05	25	13	51.6	14.7	0.7	2.5	0	2.9	15.1	10.7	9.1	6.297481008	0.067207169	29600
